uri_equipo,nombre_equipo
https://www.proballers.com/es/baloncesto/equipo/3175/albacete,Albacete
https://www.proballers.com/es/baloncesto/equipo/13354/almansa-con-afanion,Almansa Con Afanion
https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,Amics Castello
https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,Araberri Basket Club
https://www.proballers.com/es/baloncesto/equipo/13356/basquet-girona,Basquet Girona
https://www.proballers.com/es/baloncesto/equipo/3129/c-b-moron,C.B. Moron
https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat,CB Prat
https://www.proballers.com/es/baloncesto/equipo/152/caceres,Caceres
https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,Cafés Candelas Breogán
https://www.proballers.com/es/baloncesto/equipo/13446/grupo-alega-cantabria,Cantabria
https://www.proballers.com/es/baloncesto/equipo/14472/cartagena,Cartagena
https://www.proballers.com/es/baloncesto/equipo/910/rioverde-clavijo,Clavijo CB
https://www.proballers.com/es/baloncesto/equipo/146/real-valladolid,Clínica Sur-Aspasia RVB
https://www.proballers.com/es/baloncesto/equipo/218/coviran-granada,Coviran Granada
https://www.proballers.com/es/baloncesto/equipo/908/gipuzkoa-basket,Delteco GBC
https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,FC Barcelona II
https://www.proballers.com/es/baloncesto/equipo/159/fuenlabrada,Fuenlabrada
https://www.proballers.com/es/baloncesto/equipo/151/hla-alicante,HLA Alicante
https://www.proballers.com/es/baloncesto/equipo/669/hestia-menorca,Hestia Menorca
https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,Hiopos Lleida
https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca,Huesca
https://www.proballers.com/es/baloncesto/equipo/405/baxi-manresa,ICL Manresa
https://www.proballers.com/es/baloncesto/equipo/2245/biele-isb,Juaristi ISB
https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,Leyma Coruña
https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,Liberbank Oviedo
https://www.proballers.com/es/baloncesto/equipo/3006/marin-peixe-galego,Marin Peixe Galego
https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,Melilla Ciudad Del Deporte 1
https://www.proballers.com/es/baloncesto/equipo/2111/morabanc-andorra,MoraBanc Andorra
https://www.proballers.com/es/baloncesto/equipo/147/movistar-estudiantes,Movistar Estudiantes
https://www.proballers.com/es/baloncesto/equipo/2113/navarra,Navarra
https://www.proballers.com/es/baloncesto/equipo/1986/monbus-obradoiro,Obradoiro CAB
https://www.proballers.com/es/baloncesto/equipo/670/ourense,Ourense
https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia,Palencia
https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,Palma
https://www.proballers.com/es/baloncesto/equipo/15213/palma-basquet-mallorca,Palma Basquet Mallorca
https://www.proballers.com/es/baloncesto/equipo/844/surne-bilbao,RETAbet Bilbao
https://www.proballers.com/es/baloncesto/equipo/158/real-betis,Real Betis
https://www.proballers.com/es/baloncesto/equipo/13206/real-canoe-n-c,Real Canoe
https://www.proballers.com/es/baloncesto/equipo/13201/real-murcia,Real Murcia
https://www.proballers.com/es/baloncesto/equipo/909/san-pablo-burgos,San Pablo Burgos
https://www.proballers.com/es/baloncesto/equipo/13448/ubu-tizona-burgos,UBU Tizona Burgos
https://www.proballers.com/es/baloncesto/equipo/3176/cb-zamora,Zamora
