uri_equipo,uri_equipo_temporada,temporada,ano_inicio,nombre_equipo,id_liga
https://www.proballers.com/es/baloncesto/equipo/669/hestia-menorca,https://www.proballers.com/es/baloncesto/equipo/669/hestia-menorca/2025,2025-2026,2025,Hestia Menorca,194
https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2025,2025-2026,2025,Leyma Coruña,194
https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1/2025,2025-2026,2025,Melilla Ciudad Del Deporte 1,194
https://www.proballers.com/es/baloncesto/equipo/147/movistar-estudiantes,https://www.proballers.com/es/baloncesto/equipo/147/movistar-estudiantes/2025,2025-2026,2025,Movistar Estudiantes,194
https://www.proballers.com/es/baloncesto/equipo/1986/monbus-obradoiro,https://www.proballers.com/es/baloncesto/equipo/1986/monbus-obradoiro/2025,2025-2026,2025,Obradoiro CAB,194
https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo/2025,2025-2026,2025,Oviedo,194
https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia/2025,2025-2026,2025,Palencia,194
https://www.proballers.com/es/baloncesto/equipo/15213/palma-basquet-mallorca,https://www.proballers.com/es/baloncesto/equipo/15213/palma-basquet-mallorca/2025,2025-2026,2025,Palma Basquet Mallorca,194
https://www.proballers.com/es/baloncesto/equipo/13448/ubu-tizona-burgos,https://www.proballers.com/es/baloncesto/equipo/13448/ubu-tizona-burgos/2025,2025-2026,2025,UBU Tizona Burgos,194
https://www.proballers.com/es/baloncesto/equipo/3176/cb-zamora,https://www.proballers.com/es/baloncesto/equipo/3176/cb-zamora/2025,2025-2026,2025,Zamora,194
