url_jugador,uri_equipo,temporada,anio_inicio
https://www.proballers.com/es/baloncesto/jugador/43865/ivan-garcia,https://www.proballers.com/es/baloncesto/equipo/2113/navarra,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/48753/joaquin-bonhome,https://www.proballers.com/es/baloncesto/equipo/2113/navarra,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/48780/miguel-servera,https://www.proballers.com/es/baloncesto/equipo/2113/navarra,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/48935/enrique-garrido,https://www.proballers.com/es/baloncesto/equipo/2113/navarra,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/55136/serge-konan,https://www.proballers.com/es/baloncesto/equipo/2113/navarra,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/61624/sergio-rodriguez-febles,https://www.proballers.com/es/baloncesto/equipo/2113/navarra,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/66470/inigo-zabalo,https://www.proballers.com/es/baloncesto/equipo/2113/navarra,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/17786/jesus-castro,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/33664/sergio-olmos,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/44009/tomas-hampl,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/45185/angel-hernandez,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/50129/gediminas-zyle,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/51085/joan-creus,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/52425/beka-burjanadze,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/55175/larry-abia,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/62281/volodymyr-orlov,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/64537/sergio-vidal-baldovi,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/68115/dagoberto-pena,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/69950/pablo-lopez-pizarro,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/69951/zach-monaghan,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/69952/ben-stelzer,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/69953/oscar-perez,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/23747/jaime-heras,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/37750/volodymyr-gerun,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/37846/josep-perez,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/38738/khyle-marshall,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/44009/tomas-hampl,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/46789/juan-pablo-sutina,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/47887/jose-simeon-lujan,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/57253/arnau-triginer,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/6043/jorge-garcia,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/62277/marc-rubin-de-celis,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/62398/gerard-sevillano,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/62636/emmy-andujar,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/69935/alexander-craig-greven,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/69936/marti-duch,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/69937/adria-rivas,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/7214/alfonso-alzamora,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/15184/ferran-bassas,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/17067/fernando-fernandez,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/18405/diego-sanchez,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/23678/victor-perez,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/37848/javier-marin,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/39183/manuel-parada,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/39193/agustin-prieto,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/46699/mario-cabanas,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/53741/kevin-van-wijk,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/56994/daniel-trist,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/65585/jordan-swing,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/69959/drew-windler,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/69960/zaid-hearst,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/69961/pelayo-garcia,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/69962/oscar-fernandez,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/69963/justin-crosgile,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/7420/andres-miso,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/13274/lubos-barton,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/16027/emir-sulejmanovic,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/48928/papa-mbaye,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/56721/xavier-moix,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/57224/stefan-peno,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/57248/marc-garcia,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/62372/nedim-dedovic,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/62877/ramon-vila,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/63607/alejandro-mazaira,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/64957/eric-vila,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/65548/pol-figueras,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/65552/aleix-font,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/65555/maxim-esteban,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/65557/sergi-martinez,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/66499/atoumane-diagne,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/7063/jaka-lakovic,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/17490/miguel-feliu,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/40320/tautvydas-sabonis,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/41165/javier-lucas,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/41339/javier-medori,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/46641/claudio-fonseca,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/46752/mikel-uriz,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/47885/oscar-alvarado,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/60403/jorge-romero,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/6075/ricardo-guillen,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/61625/adrian-mendez,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/61685/khalid-mutakabbir,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/64532/eduardo-duran,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/65293/ryan-nicholas,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/66477/carlos-poyatos,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/69956/gabriel-roman,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/22391/pablo-almazan,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,2015-2016,2015
