temporada,anio_inicio,nombre_equipo,url_equipo,id_liga
2017-2018,2017,Araberri Basket Club,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club/2017,194
2017-2018,2017,ICL Manresa,https://www.proballers.com/es/baloncesto/equipo/405/baxi-manresa/2017,194
2017-2018,2017,Juaristi ISB,https://www.proballers.com/es/baloncesto/equipo/2245/biele-isb/2017,194
2017-2018,2017,C.B. Prat,https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat/2017,194
2017-2018,2017,Caceres,https://www.proballers.com/es/baloncesto/equipo/152/caceres/2017,194
2017-2018,2017,FC Barcelona II,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2017,194
2017-2018,2017,Palma,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2017,194
2017-2018,2017,Hiopos Lleida,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2017,194
2017-2018,2017,Huesca,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2017,194
2017-2018,2017,Leyma Coruña,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2017,194
2017-2018,2017,Melilla Ciudad Del Deporte 1,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1/2017,194
2017-2018,2017,Ourence,https://www.proballers.com/es/baloncesto/equipo/670/ourense/2017,194
2017-2018,2017,Clínica Sur-Aspasia RVB,https://www.proballers.com/es/baloncesto/equipo/146/real-valladolid/2017,194
2017-2018,2017,Cafés Candelas Breogán,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan/2017,194
2017-2018,2017,Clavijo CB,https://www.proballers.com/es/baloncesto/equipo/910/rioverde-clavijo/2017,194
2017-2018,2017,Palencia,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia/2017,194
2018-2019,2018,Liberbank Oviedo,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo/2018,194
2018-2019,2018,Amics Castello,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello/2018,194
2018-2019,2018,Araberri Basket Club,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club/2018,194
2018-2019,2018,C.B. Prat,https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat/2018,194
2018-2019,2018,Caceres,https://www.proballers.com/es/baloncesto/equipo/152/caceres/2018,194
2018-2019,2018,Coviran Granada,https://www.proballers.com/es/baloncesto/equipo/218/coviran-granada/2018,194
2018-2019,2018,FC Barcelona II,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2018,194
2018-2019,2018,Palma,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2018,194
2018-2019,2018,Hiopos Lleida,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2018,194
2018-2019,2018,Huesca,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2018,194
2018-2019,2018,Leyma Coruña,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2018,194
2018-2019,2018,Melilla Ciudad Del Deporte 1,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1/2018,194
2018-2019,2018,Ourence,https://www.proballers.com/es/baloncesto/equipo/670/ourense/2018,194
2018-2019,2018,Real Betis,https://www.proballers.com/es/baloncesto/equipo/158/real-betis/2018,194
2018-2019,2018,Real Canoe,https://www.proballers.com/es/baloncesto/equipo/13206/real-canoe-n-c/2018,194
2018-2019,2018,Clínica Sur-Aspasia RVB,https://www.proballers.com/es/baloncesto/equipo/146/real-valladolid/2018,194
2018-2019,2018,Palencia,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia/2018,194
2018-2019,2018,RETAbet Bilbao,https://www.proballers.com/es/baloncesto/equipo/844/surne-bilbao/2018,194
2019-2020,2019,Liberbank Oviedo,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo/2019,194
2019-2020,2019,Almansa Con Afanion,https://www.proballers.com/es/baloncesto/equipo/13354/almansa-con-afanion/2019,194
2019-2020,2019,Amics Castello,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello/2019,194
2019-2020,2019,Caceres,https://www.proballers.com/es/baloncesto/equipo/152/caceres/2019,194
2019-2020,2019,Coviran Granada,https://www.proballers.com/es/baloncesto/equipo/218/coviran-granada/2019,194
2019-2020,2019,Palma,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2019,194
2019-2020,2019,Delteco GBC,https://www.proballers.com/es/baloncesto/equipo/908/gipuzkoa-basket/2019,194
2019-2020,2019,Hiopos Lleida,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2019,194
2019-2020,2019,HLA Alicante,https://www.proballers.com/es/baloncesto/equipo/151/hla-alicante/2019,194
2019-2020,2019,Huesca,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2019,194
2019-2020,2019,Leyma Coruña,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2019,194
2019-2020,2019,Marin Peixe Galego,https://www.proballers.com/es/baloncesto/equipo/3006/marin-peixe-galego/2019,194
2019-2020,2019,Melilla Ciudad Del Deporte 1,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1/2019,194
2019-2020,2019,Ourence,https://www.proballers.com/es/baloncesto/equipo/670/ourense/2019,194
2019-2020,2019,Real Canoe,https://www.proballers.com/es/baloncesto/equipo/13206/real-canoe-n-c/2019,194
2019-2020,2019,Clínica Sur-Aspasia RVB,https://www.proballers.com/es/baloncesto/equipo/146/real-valladolid/2019,194
2019-2020,2019,Leche Río Breogán,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan/2019,194
2019-2020,2019,Palencia,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia/2019,194
2020-2021,2020,Liberbank Oviedo,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo/2020,194
2020-2021,2020,Almansa Con Afanion,https://www.proballers.com/es/baloncesto/equipo/13354/almansa-con-afanion/2020,194
2020-2021,2020,Amics Castello,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello/2020,194
2020-2021,2020,Basquet Girona,https://www.proballers.com/es/baloncesto/equipo/13356/basquet-girona/2020,194
2020-2021,2020,Caceres,https://www.proballers.com/es/baloncesto/equipo/152/caceres/2020,194
2020-2021,2020,Coviran Granada,https://www.proballers.com/es/baloncesto/equipo/218/coviran-granada/2020,194
2020-2021,2020,Palma,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2020,194
2020-2021,2020,Hiopos Lleida,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2020,194
2020-2021,2020,HLA Alicante,https://www.proballers.com/es/baloncesto/equipo/151/hla-alicante/2020,194
2020-2021,2020,Huesca,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2020,194
2020-2021,2020,Leyma Coruña,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2020,194
2020-2021,2020,Melilla Ciudad Del Deporte 1,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1/2020,194
2020-2021,2020,Ourence,https://www.proballers.com/es/baloncesto/equipo/670/ourense/2020,194
2020-2021,2020,Real Canoe,https://www.proballers.com/es/baloncesto/equipo/13206/real-canoe-n-c/2020,194
2020-2021,2020,Real Murcia,https://www.proballers.com/es/baloncesto/equipo/13201/real-murcia/2020,194
2020-2021,2020,Clínica Sur-Aspasia RVB,https://www.proballers.com/es/baloncesto/equipo/146/real-valladolid/2020,194
2020-2021,2020,Leche Río Breogán,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan/2020,194
2020-2021,2020,Palencia,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia/2020,194
2020-2021,2020,UBU Tizona Burgos,https://www.proballers.com/es/baloncesto/equipo/13448/ubu-tizona-burgos/2020,194
2021-2022,2021,Oviedo,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo/2021,194
2021-2022,2021,Almansa Con Afanion,https://www.proballers.com/es/baloncesto/equipo/13354/almansa-con-afanion/2021,194
2021-2022,2021,Amics Castello,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello/2021,194
2021-2022,2021,Basquet Girona,https://www.proballers.com/es/baloncesto/equipo/13356/basquet-girona/2021,194
2021-2022,2021,Juaristi ISB,https://www.proballers.com/es/baloncesto/equipo/2245/biele-isb/2021,194
2021-2022,2021,C.B. Prat,https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat/2021,194
2021-2022,2021,Caceres,https://www.proballers.com/es/baloncesto/equipo/152/caceres/2021,194
2021-2022,2021,Coviran Granada,https://www.proballers.com/es/baloncesto/equipo/218/coviran-granada/2021,194
2021-2022,2021,Palma,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2021,194
2021-2022,2021,Acunsa Gipuzkoa,https://www.proballers.com/es/baloncesto/equipo/908/gipuzkoa-basket/2021,194
2021-2022,2021,Hiopos Lleida,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2021,194
2021-2022,2021,HLA Alicante,https://www.proballers.com/es/baloncesto/equipo/151/hla-alicante/2021,194
2021-2022,2021,Huesca,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2021,194
2021-2022,2021,Leyma Coruña,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2021,194
2021-2022,2021,Melilla Ciudad Del Deporte 1,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1/2021,194
2021-2022,2021,Movistar Estudiantes,https://www.proballers.com/es/baloncesto/equipo/147/movistar-estudiantes/2021,194
2021-2022,2021,Real Valladolid,https://www.proballers.com/es/baloncesto/equipo/146/real-valladolid/2021,194
2021-2022,2021,Palencia,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia/2021,194
2022-2023,2022,Albacete,https://www.proballers.com/es/baloncesto/equipo/3175/albacete/2022,194
2022-2023,2022,Oviedo,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo/2022,194
2022-2023,2022,Almansa Con Afanion,https://www.proballers.com/es/baloncesto/equipo/13354/almansa-con-afanion/2022,194
2022-2023,2022,Amics Castello,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello/2022,194
2022-2023,2022,Juaristi ISB,https://www.proballers.com/es/baloncesto/equipo/2245/biele-isb/2022,194
2022-2023,2022,Caceres,https://www.proballers.com/es/baloncesto/equipo/152/caceres/2022,194
2022-2023,2022,Acunsa Gipuzkoa,https://www.proballers.com/es/baloncesto/equipo/908/gipuzkoa-basket/2022,194
2022-2023,2022,Cantabria,https://www.proballers.com/es/baloncesto/equipo/13446/grupo-alega-cantabria/2022,194
2022-2023,2022,Hiopos Lleida,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2022,194
2022-2023,2022,HLA Alicante,https://www.proballers.com/es/baloncesto/equipo/151/hla-alicante/2022,194
2022-2023,2022,Leyma Coruña,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2022,194
2022-2023,2022,Melilla Ciudad Del Deporte 1,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1/2022,194
2022-2023,2022,MoraBanc Andorra,https://www.proballers.com/es/baloncesto/equipo/2111/morabanc-andorra/2022,194
2022-2023,2022,Movistar Estudiantes,https://www.proballers.com/es/baloncesto/equipo/147/movistar-estudiantes/2022,194
2022-2023,2022,CB Ourense,https://www.proballers.com/es/baloncesto/equipo/670/ourense/2022,194
2022-2023,2022,Real Valladolid,https://www.proballers.com/es/baloncesto/equipo/146/real-valladolid/2022,194
2022-2023,2022,San Pablo Burgos,https://www.proballers.com/es/baloncesto/equipo/909/san-pablo-burgos/2022,194
2022-2023,2022,Palencia,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia/2022,194
2023-2024,2023,Oviedo,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo/2023,194
2023-2024,2023,Amics Castello,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello/2023,194
2023-2024,2023,Caceres,https://www.proballers.com/es/baloncesto/equipo/152/caceres/2023,194
2023-2024,2023,Fuenlabrada,https://www.proballers.com/es/baloncesto/equipo/159/fuenlabrada/2023,194
2023-2024,2023,Acunsa Gipuzkoa,https://www.proballers.com/es/baloncesto/equipo/908/gipuzkoa-basket/2023,194
2023-2024,2023,Cantabria,https://www.proballers.com/es/baloncesto/equipo/13446/grupo-alega-cantabria/2023,194
2023-2024,2023,Hestia Menorca,https://www.proballers.com/es/baloncesto/equipo/669/hestia-menorca/2023,194
2023-2024,2023,Hiopos Lleida,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2023,194
2023-2024,2023,HLA Alicante,https://www.proballers.com/es/baloncesto/equipo/151/hla-alicante/2023,194
2023-2024,2023,Leyma Coruña,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2023,194
2023-2024,2023,Melilla Ciudad Del Deporte 1,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1/2023,194
2023-2024,2023,Movistar Estudiantes,https://www.proballers.com/es/baloncesto/equipo/147/movistar-estudiantes/2023,194
2023-2024,2023,CB Ourense,https://www.proballers.com/es/baloncesto/equipo/670/ourense/2023,194
2023-2024,2023,Coosur Real Betis,https://www.proballers.com/es/baloncesto/equipo/158/real-betis/2023,194
2023-2024,2023,Real Valladolid,https://www.proballers.com/es/baloncesto/equipo/146/real-valladolid/2023,194
2023-2024,2023,Clavijo CB,https://www.proballers.com/es/baloncesto/equipo/910/rioverde-clavijo/2023,194
2023-2024,2023,San Pablo Burgos,https://www.proballers.com/es/baloncesto/equipo/909/san-pablo-burgos/2023,194
2023-2024,2023,UBU Tizona Burgos,https://www.proballers.com/es/baloncesto/equipo/13448/ubu-tizona-burgos/2023,194
2024-2025,2024,Oviedo,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo/2024,194
2024-2025,2024,Amics Castello,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello/2024,194
2024-2025,2024,C.B. Moron,https://www.proballers.com/es/baloncesto/equipo/3129/c-b-moron/2024,194
2024-2025,2024,Cartagena,https://www.proballers.com/es/baloncesto/equipo/14472/cartagena/2024,194
2024-2025,2024,Zamora,https://www.proballers.com/es/baloncesto/equipo/3176/cb-zamora/2024,194
2024-2025,2024,Fuenlabrada,https://www.proballers.com/es/baloncesto/equipo/159/fuenlabrada/2024,194
2024-2025,2024,Acunsa Gipuzkoa,https://www.proballers.com/es/baloncesto/equipo/908/gipuzkoa-basket/2024,194
2024-2025,2024,Cantabria,https://www.proballers.com/es/baloncesto/equipo/13446/grupo-alega-cantabria/2024,194
2024-2025,2024,Hestia Menorca,https://www.proballers.com/es/baloncesto/equipo/669/hestia-menorca/2024,194
2024-2025,2024,HLA Alicante,https://www.proballers.com/es/baloncesto/equipo/151/hla-alicante/2024,194
2024-2025,2024,Obradoiro CAB,https://www.proballers.com/es/baloncesto/equipo/1986/monbus-obradoiro/2024,194
2024-2025,2024,Movistar Estudiantes,https://www.proballers.com/es/baloncesto/equipo/147/movistar-estudiantes/2024,194
2024-2025,2024,CB Ourense,https://www.proballers.com/es/baloncesto/equipo/670/ourense/2024,194
2024-2025,2024,Coosur Real Betis,https://www.proballers.com/es/baloncesto/equipo/158/real-betis/2024,194
2024-2025,2024,Real Valladolid,https://www.proballers.com/es/baloncesto/equipo/146/real-valladolid/2024,194
2024-2025,2024,San Pablo Burgos,https://www.proballers.com/es/baloncesto/equipo/909/san-pablo-burgos/2024,194
2024-2025,2024,Palencia,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia/2024,194
2024-2025,2024,UBU Tizona Burgos,https://www.proballers.com/es/baloncesto/equipo/13448/ubu-tizona-burgos/2024,194
2025-2026,2025,Oviedo,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo/2025,194
2025-2026,2025,Cartagena,https://www.proballers.com/es/baloncesto/equipo/14472/cartagena/2025,194
2025-2026,2025,Zamora,https://www.proballers.com/es/baloncesto/equipo/3176/cb-zamora/2025,194
2025-2026,2025,Fibwi Palma,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2025,194
2025-2026,2025,Fuenlabrada,https://www.proballers.com/es/baloncesto/equipo/159/fuenlabrada/2025,194
2025-2026,2025,Acunsa Gipuzkoa,https://www.proballers.com/es/baloncesto/equipo/908/gipuzkoa-basket/2025,194
2025-2026,2025,Cantabria,https://www.proballers.com/es/baloncesto/equipo/13446/grupo-alega-cantabria/2025,194
2025-2026,2025,Hestia Menorca,https://www.proballers.com/es/baloncesto/equipo/669/hestia-menorca/2025,194
2025-2026,2025,HLA Alicante,https://www.proballers.com/es/baloncesto/equipo/151/hla-alicante/2025,194
2025-2026,2025,Leyma Coruña,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2025,194
2025-2026,2025,Melilla Ciudad Del Deporte 1,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1/2025,194
2025-2026,2025,Obradoiro CAB,https://www.proballers.com/es/baloncesto/equipo/1986/monbus-obradoiro/2025,194
2025-2026,2025,Movistar Estudiantes,https://www.proballers.com/es/baloncesto/equipo/147/movistar-estudiantes/2025,194
2025-2026,2025,CB Ourense,https://www.proballers.com/es/baloncesto/equipo/670/ourense/2025,194
2025-2026,2025,Palma Basquet Mallorca,https://www.proballers.com/es/baloncesto/equipo/15213/palma-basquet-mallorca/2025,194
2025-2026,2025,Palencia,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia/2025,194
2025-2026,2025,UBU Tizona Burgos,https://www.proballers.com/es/baloncesto/equipo/13448/ubu-tizona-burgos/2025,194
