temporada,anio_inicio,nombre_equipo,url_equipo,id_liga
2015-2016,2015,Liberbank Oviedo,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo/2015,194
2015-2016,2015,Amics Castello,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello/2015,194
2015-2016,2015,C.B. Prat,https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat/2015,194
2015-2016,2015,Caceres,https://www.proballers.com/es/baloncesto/equipo/152/caceres/2015,194
2015-2016,2015,FC Barcelona II,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2015,194
2015-2016,2015,Palma,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2015,194
2015-2016,2015,Hiopos Lleida,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015,194
2015-2016,2015,Huesca,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2015,194
2015-2016,2015,Leyma Coruña,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2015,194
2015-2016,2015,Melilla Ciudad Del Deporte 1,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1/2015,194
2015-2016,2015,Navarra,https://www.proballers.com/es/baloncesto/equipo/2113/navarra/2015,194
2015-2016,2015,Ourence,https://www.proballers.com/es/baloncesto/equipo/670/ourense/2015,194
2015-2016,2015,Cafés Candelas Breogán,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan/2015,194
2015-2016,2015,Clavijo CB,https://www.proballers.com/es/baloncesto/equipo/910/rioverde-clavijo/2015,194
2015-2016,2015,San Pablo Burgos,https://www.proballers.com/es/baloncesto/equipo/909/san-pablo-burgos/2015,194
2015-2016,2015,Palencia,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia/2015,194
2016-2017,2016,Liberbank Oviedo,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo/2016,194
2016-2017,2016,Amics Castello,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello/2016,194
2016-2017,2016,Araberri Basket Club,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club/2016,194
2016-2017,2016,C.B. Prat,https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat/2016,194
2016-2017,2016,Caceres,https://www.proballers.com/es/baloncesto/equipo/152/caceres/2016,194
2016-2017,2016,FC Barcelona II,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2016,194
2016-2017,2016,Palma,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2016,194
2016-2017,2016,Delteco GBC,https://www.proballers.com/es/baloncesto/equipo/908/gipuzkoa-basket/2016,194
2016-2017,2016,Hiopos Lleida,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2016,194
2016-2017,2016,Huesca,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2016,194
2016-2017,2016,Leyma Coruña,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2016,194
2016-2017,2016,Marin Peixe Galego,https://www.proballers.com/es/baloncesto/equipo/3006/marin-peixe-galego/2016,194
2016-2017,2016,Melilla Ciudad Del Deporte 1,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1/2016,194
2016-2017,2016,Ourence,https://www.proballers.com/es/baloncesto/equipo/670/ourense/2016,194
2016-2017,2016,Cafés Candelas Breogán,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan/2016,194
2016-2017,2016,Clavijo CB,https://www.proballers.com/es/baloncesto/equipo/910/rioverde-clavijo/2016,194
2016-2017,2016,San Pablo Burgos,https://www.proballers.com/es/baloncesto/equipo/909/san-pablo-burgos/2016,194
2016-2017,2016,Palencia,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia/2016,194
2017-2018,2017,Liberbank Oviedo,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo/2017,194
2017-2018,2017,Amics Castello,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello/2017,194
