temporada,nombre_equipo,nombre_jugador,url_jugador,url_equipo_origen
2015-2016,FC Barcelona II,Jaka Lakovic,https://www.proballers.com/es/baloncesto/jugador/7063/jaka-lakovic,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2015
2015-2016,FC Barcelona II,Lubos Barton,https://www.proballers.com/es/baloncesto/jugador/13274/lubos-barton,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2015
2015-2016,FC Barcelona II,Stefan Peno,https://www.proballers.com/es/baloncesto/jugador/57224/stefan-peno,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2015
2015-2016,FC Barcelona II,Aleix Font,https://www.proballers.com/es/baloncesto/jugador/65552/aleix-font,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2015
2015-2016,FC Barcelona II,Ramon Vila,https://www.proballers.com/es/baloncesto/jugador/62877/ramon-vila,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2015
2015-2016,FC Barcelona II,Nedim Dedovic,https://www.proballers.com/es/baloncesto/jugador/62372/nedim-dedovic,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2015
2015-2016,FC Barcelona II,Xavier Moix,https://www.proballers.com/es/baloncesto/jugador/56721/xavier-moix,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2015
2015-2016,FC Barcelona II,Alejandro Mazaira,https://www.proballers.com/es/baloncesto/jugador/63607/alejandro-mazaira,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2015
2015-2016,FC Barcelona II,Sergi Martinez,https://www.proballers.com/es/baloncesto/jugador/65557/sergi-martinez,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2015
2015-2016,FC Barcelona II,Pol Figueras,https://www.proballers.com/es/baloncesto/jugador/65548/pol-figueras,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2015
2015-2016,FC Barcelona II,Atoumane Diagne,https://www.proballers.com/es/baloncesto/jugador/66499/atoumane-diagne,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2015
2015-2016,FC Barcelona II,Maxim Esteban,https://www.proballers.com/es/baloncesto/jugador/65555/maxim-esteban,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2015
2015-2016,FC Barcelona II,Eric Vila,https://www.proballers.com/es/baloncesto/jugador/64957/eric-vila,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2015
2015-2016,Palma,Ricardo Guillen,https://www.proballers.com/es/baloncesto/jugador/6075/ricardo-guillen,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2015
2015-2016,Palma,Mikel Uriz,https://www.proballers.com/es/baloncesto/jugador/46752/mikel-uriz,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2015
2015-2016,Palma,Claudio Fonseca,https://www.proballers.com/es/baloncesto/jugador/46641/claudio-fonseca,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2015
2015-2016,Palma,Eduardo Duran,https://www.proballers.com/es/baloncesto/jugador/64532/eduardo-duran,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2015
2015-2016,Palma,Khalid Mutakabbir,https://www.proballers.com/es/baloncesto/jugador/61685/khalid-mutakabbir,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2015
2015-2016,Palma,Miguel Feliu,https://www.proballers.com/es/baloncesto/jugador/17490/miguel-feliu,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2015
2015-2016,Palma,Jorge Romero,https://www.proballers.com/es/baloncesto/jugador/60403/jorge-romero,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2015
2015-2016,Palma,Tautvydas Sabonis,https://www.proballers.com/es/baloncesto/jugador/40320/tautvydas-sabonis,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2015
2015-2016,Palma,Javier Lucas,https://www.proballers.com/es/baloncesto/jugador/41165/javier-lucas,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2015
2015-2016,Palma,Adrian Mendez,https://www.proballers.com/es/baloncesto/jugador/61625/adrian-mendez,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2015
2015-2016,Palma,Ryan Nicholas,https://www.proballers.com/es/baloncesto/jugador/65293/ryan-nicholas,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2015
2015-2016,Palma,Oscar Alvarado,https://www.proballers.com/es/baloncesto/jugador/47885/oscar-alvarado,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2015
2015-2016,Palma,Carlos Poyatos,https://www.proballers.com/es/baloncesto/jugador/66477/carlos-poyatos,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2015
2015-2016,Palma,Javier Medori,https://www.proballers.com/es/baloncesto/jugador/41339/javier-medori,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2015
2015-2016,Palma,Gabriel Roman,https://www.proballers.com/es/baloncesto/jugador/69956/gabriel-roman,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2015
2015-2016,Hiopos Lleida,Volodymyr Gerun,https://www.proballers.com/es/baloncesto/jugador/37750/volodymyr-gerun,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015
2015-2016,Hiopos Lleida,Emmy Andujar,https://www.proballers.com/es/baloncesto/jugador/62636/emmy-andujar,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015
