id_partido,fecha,temporada,ano_inicio,uri_local,uri_visitante,puntos_local,puntos_visitante,cobertura_local,rebotes_local,asistencias_local,robos_local,perdidas_local,valoracion_local,porc_t3_local,cobertura_visitante,rebotes_visitante,asistencias_visitante,robos_visitante,perdidas_visitante,valoracion_visitante,porc_t3_visitante
20160212_amics-castello_melilla-ciudad-del-deporte-1,2016-02-12,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,80,73,1.0,30.0,11.0,10.0,17.0,83.0,36.36,1.0,38.0,18.0,11.0,25.0,76.0,26.67
20160221_amics-castello_leyma-coruna,2016-02-21,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,76,83,1.0,32.0,19.0,10.0,17.0,83.0,38.09,1.0,32.0,19.0,6.0,14.0,91.0,42.86
20160226_amics-castello_rio-breogan,2016-02-26,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,77,79,1.0,30.0,18.0,7.0,15.0,83.0,31.58,1.0,40.0,19.0,9.0,16.0,85.0,34.37
20160305_amics-castello_fibwi-palma,2016-03-05,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,80,73,1.0,34.0,23.0,9.0,15.0,99.0,36.0,1.0,29.0,8.0,9.0,17.0,67.0,22.22
20160311_amics-castello_san-pablo-burgos,2016-03-11,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/909/san-pablo-burgos,60,79,1.0,34.0,9.0,4.0,20.0,52.0,23.81,1.0,31.0,18.0,10.0,16.0,88.0,45.16
20160318_amics-castello_ourense,2016-03-18,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/670/ourense,80,86,1.0,17.0,11.0,14.0,14.0,67.0,43.75,1.0,44.0,15.0,8.0,30.0,93.0,33.33
20160323_amics-castello_levitec-huesca,2016-03-23,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,105,85,1.0,34.0,26.0,8.0,8.0,135.0,47.62,1.0,26.0,19.0,5.0,14.0,83.0,47.62
20160401_amics-castello_c-b-prat,2016-04-01,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat,68,69,1.0,35.0,11.0,11.0,19.0,69.0,17.65,1.0,37.0,10.0,12.0,17.0,78.0,38.89
20160408_amics-castello_rioverde-clavijo,2016-04-08,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/910/rioverde-clavijo,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,76,83,1.0,40.0,16.0,7.0,14.0,85.0,20.69,1.0,30.0,14.0,3.0,9.0,82.0,47.06
20160415_alimerka-oviedo_amics-castello,2016-04-15,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,77,82,1.0,25.0,17.0,8.0,16.0,80.0,38.46,1.0,30.0,23.0,9.0,15.0,99.0,37.04
20151009_caceres_levitec-huesca,2015-10-09,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca,79,75,1.0,27.0,21.0,10.0,19.0,83.0,35.0,1.0,33.0,15.0,13.0,21.0,79.0,21.05
20151017_c-b-prat_caceres,2015-10-17,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat,https://www.proballers.com/es/baloncesto/equipo/152/caceres,70,62,1.0,35.0,12.0,9.0,15.0,78.0,35.0,1.0,28.0,8.0,8.0,14.0,49.0,32.14
20151023_caceres_rioverde-clavijo,2015-10-23,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/910/rioverde-clavijo,101,93,1.0,52.0,18.0,4.0,14.0,117.0,46.87,1.0,36.0,19.0,11.0,8.0,101.0,38.71
20151031_alimerka-oviedo_caceres,2015-10-31,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,https://www.proballers.com/es/baloncesto/equipo/152/caceres,82,78,1.0,22.0,17.0,7.0,9.0,83.0,45.83,1.0,31.0,12.0,3.0,16.0,76.0,37.04
20151106_caceres_ourense,2015-11-06,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/670/ourense,64,76,1.0,37.0,11.0,9.0,12.0,66.0,22.58,1.0,39.0,11.0,9.0,11.0,88.0,31.82
20151111_caceres_fc-barcelona-ii,2015-11-11,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,60,74,1.0,37.0,15.0,9.0,12.0,63.0,32.0,1.0,42.0,11.0,5.0,11.0,87.0,21.74
20151115_caceres_navarra,2015-11-15,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/2113/navarra,https://www.proballers.com/es/baloncesto/equipo/152/caceres,72,65,1.0,31.0,11.0,4.0,9.0,77.0,12.0,1.0,35.0,7.0,5.0,10.0,55.0,18.18
20151120_caceres_hiopos-lleida,2015-11-20,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,69,73,1.0,33.0,11.0,5.0,16.0,66.0,36.0,1.0,38.0,13.0,11.0,17.0,79.0,35.48
20151127_caceres_super-agropal-palencia,2015-11-27,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia,https://www.proballers.com/es/baloncesto/equipo/152/caceres,78,60,1.0,48.0,18.0,3.0,16.0,101.0,35.29,1.0,40.0,10.0,10.0,9.0,48.0,25.0
20151204_caceres_melilla-ciudad-del-deporte-1,2015-12-04,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,82,79,1.0,35.0,19.0,6.0,11.0,92.0,48.27,1.0,29.0,22.0,2.0,12.0,91.0,31.82
20151216_caceres_rio-breogan,2015-12-16,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,73,58,1.0,39.0,15.0,10.0,15.0,91.0,31.82,1.0,27.0,11.0,7.0,14.0,52.0,28.57
20151220_caceres_fibwi-palma,2015-12-20,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,https://www.proballers.com/es/baloncesto/equipo/152/caceres,65,70,1.0,31.0,19.0,5.0,7.0,78.0,29.03,1.0,34.0,9.0,4.0,7.0,72.0,29.63
20151230_caceres_san-pablo-burgos,2015-12-30,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/909/san-pablo-burgos,75,68,1.0,35.0,20.0,7.0,13.0,93.0,33.33,1.0,33.0,16.0,7.0,11.0,74.0,42.31
20160108_caceres_levitec-huesca,2016-01-08,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca,https://www.proballers.com/es/baloncesto/equipo/152/caceres,74,56,1.0,36.0,18.0,9.0,16.0,87.0,38.46,1.0,28.0,13.0,7.0,17.0,47.0,41.17
20160115_c-b-prat_caceres,2016-01-15,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat,73,54,1.0,35.0,23.0,9.0,14.0,100.0,45.0,1.0,35.0,12.0,9.0,12.0,51.0,24.14
