id_partido,fecha,temporada,ano_inicio,uri_local,uri_visitante,puntos_local,puntos_visitante,cobertura_local,rebotes_local,asistencias_local,robos_local,perdidas_local,valoracion_local,porc_t3_local,cobertura_visitante,rebotes_visitante,asistencias_visitante,robos_visitante,perdidas_visitante,valoracion_visitante,porc_t3_visitante
20181026_amics-castello_ourense,2018-10-26,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/670/ourense,80,85,1.0,39.0,14.0,6.0,13.0,90.0,31.43,1.0,39.0,13.0,8.0,9.0,97.0,42.86
20181102_amics-castello_melilla-ciudad-del-deporte-1,2018-11-02,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,82,72,1.0,37.0,10.0,11.0,16.0,95.0,47.62,1.0,38.0,18.0,9.0,16.0,73.0,29.17
20181109_amics-castello_coviran-granada,2018-11-09,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/218/coviran-granada,69,78,1.0,37.0,19.0,9.0,12.0,87.0,33.33,1.0,44.0,15.0,11.0,9.0,96.0,29.17
20181116_amics-castello_real-canoe-n-c,2018-11-16,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/13206/real-canoe-n-c,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,72,65,1.0,38.0,14.0,6.0,14.0,75.0,43.75,1.0,34.0,14.0,7.0,15.0,55.0,28.0
20181123_amics-castello_fc-barcelona-ii,2018-11-23,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,85,81,1.0,40.0,25.0,11.0,14.0,101.0,36.84,1.0,43.0,20.0,8.0,18.0,97.0,42.31
20181128_alimerka-oviedo_amics-castello,2018-11-28,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,95,70,1.0,33.0,19.0,10.0,10.0,114.0,47.37,1.0,41.0,13.0,5.0,14.0,64.0,25.0
20181202_amics-castello_araberri-basket-club,2018-12-02,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,80,78,1.0,46.0,10.0,9.0,21.0,82.0,22.58,1.0,28.0,15.0,11.0,16.0,72.0,36.84
20181207_amics-castello_hiopos-lleida,2018-12-07,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,70,66,1.0,34.0,18.0,6.0,13.0,87.0,38.89,1.0,31.0,14.0,10.0,9.0,70.0,24.14
20181214_amics-castello_levitec-huesca,2018-12-14,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,95,84,1.0,26.0,26.0,5.0,14.0,116.0,58.33,1.0,31.0,15.0,9.0,12.0,90.0,28.57
20181218_amics-castello_real-valladolid,2018-12-18,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/146/real-valladolid,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,70,56,1.0,44.0,11.0,4.0,18.0,70.0,26.09,1.0,29.0,4.0,10.0,8.0,44.0,11.54
20181221_amics-castello_leyma-coruna,2018-12-21,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,59,72,1.0,40.0,16.0,7.0,16.0,60.0,17.65,1.0,50.0,17.0,12.0,13.0,98.0,26.92
20190104_amics-castello_real-betis,2019-01-04,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/158/real-betis,69,74,1.0,35.0,15.0,9.0,9.0,80.0,38.46,1.0,42.0,17.0,5.0,10.0,88.0,21.74
20190113_amics-castello_fibwi-palma,2019-01-13,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,82,86,1.0,23.0,14.0,7.0,15.0,83.0,57.14,1.0,31.0,12.0,9.0,12.0,93.0,55.55
20190119_amics-castello_c-b-prat,2019-01-19,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,72,82,1.0,22.0,16.0,10.0,14.0,72.0,36.84,1.0,31.0,18.0,5.0,19.0,95.0,35.0
20190123_amics-castello_surne-bilbao,2019-01-23,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/844/surne-bilbao,74,62,1.0,34.0,15.0,7.0,15.0,82.0,32.0,1.0,30.0,12.0,9.0,12.0,55.0,26.32
20190127_amics-castello_caceres,2019-01-27,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,81,86,1.0,31.0,14.0,9.0,6.0,91.0,44.0,1.0,37.0,15.0,5.0,10.0,94.0,26.67
20190201_amics-castello_super-agropal-palencia,2019-02-01,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia,66,72,1.0,33.0,14.0,8.0,21.0,70.0,22.73,1.0,29.0,19.0,12.0,13.0,81.0,44.44
20190216_amics-castello_ourense,2019-02-16,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/670/ourense,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,72,82,1.0,31.0,10.0,9.0,14.0,69.0,20.0,1.0,30.0,14.0,12.0,13.0,91.0,46.15
20190222_amics-castello_melilla-ciudad-del-deporte-1,2019-02-22,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,73,81,1.0,34.0,17.0,5.0,9.0,78.0,31.25,1.0,33.0,22.0,6.0,11.0,98.0,38.46
20190302_amics-castello_coviran-granada,2019-03-02,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/218/coviran-granada,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,70,59,1.0,44.0,9.0,2.0,11.0,73.0,48.0,1.0,35.0,9.0,6.0,10.0,59.0,28.12
20190308_amics-castello_real-canoe-n-c,2019-03-08,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/13206/real-canoe-n-c,88,75,1.0,31.0,29.0,13.0,18.0,113.0,44.44,1.0,29.0,20.0,10.0,19.0,80.0,35.48
20190316_amics-castello_fc-barcelona-ii,2019-03-16,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,57,62,1.0,38.0,13.0,7.0,8.0,62.0,26.67,1.0,46.0,11.0,5.0,14.0,66.0,23.08
20190319_alimerka-oviedo_amics-castello,2019-03-19,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,84,89,1.0,27.0,19.0,6.0,7.0,93.0,38.71,1.0,39.0,22.0,5.0,11.0,114.0,55.55
20190322_amics-castello_araberri-basket-club,2019-03-22,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,79,66,1.0,29.0,23.0,7.0,8.0,95.0,41.18,1.0,37.0,14.0,3.0,7.0,72.0,26.92
20190329_amics-castello_hiopos-lleida,2019-03-29,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,88,82,1.0,32.0,17.0,12.0,16.0,97.0,39.28,1.0,32.0,17.0,10.0,19.0,87.0,36.0
20190406_amics-castello_levitec-huesca,2019-04-06,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca,79,82,1.0,41.0,17.0,8.0,14.0,86.0,17.86,1.0,36.0,23.0,9.0,11.0,95.0,36.84
20190412_amics-castello_leyma-coruna,2019-04-12,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,83,84,1.0,36.0,18.0,7.0,20.0,86.0,37.04,1.0,26.0,21.0,5.0,14.0,89.0,41.17
20190421_amics-castello_real-valladolid,2019-04-21,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/146/real-valladolid,83,94,1.0,22.0,20.0,4.0,14.0,87.0,50.0,1.0,32.0,18.0,9.0,10.0,110.0,46.15
20190426_amics-castello_real-betis,2019-04-26,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/158/real-betis,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,78,63,1.0,37.0,12.0,10.0,8.0,91.0,44.0,1.0,37.0,17.0,5.0,13.0,71.0,21.74
20190503_amics-castello_fibwi-palma,2019-05-03,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,99,100,1.0,29.0,26.0,7.0,17.0,119.0,66.66,1.0,29.0,24.0,13.0,11.0,117.0,42.31
20190106_araberri-basket-club_ourense,2019-01-06,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/670/ourense,85,94,1.0,38.0,17.0,6.0,12.0,90.0,37.93,1.0,30.0,24.0,6.0,9.0,111.0,38.46
20190111_araberri-basket-club_leyma-coruna,2019-01-11,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,96,82,1.0,40.0,22.0,3.0,9.0,117.0,42.1,1.0,32.0,19.0,4.0,7.0,87.0,40.0
20190118_araberri-basket-club_melilla-ciudad-del-deporte-1,2019-01-18,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,77,82,1.0,26.0,15.0,6.0,13.0,80.0,54.54,1.0,32.0,16.0,7.0,9.0,89.0,40.0
20190122_araberri-basket-club_real-valladolid,2019-01-22,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/146/real-valladolid,78,82,1.0,33.0,13.0,4.0,12.0,79.0,33.33,1.0,30.0,17.0,7.0,9.0,91.0,33.33
20190126_araberri-basket-club_coviran-granada,2019-01-26,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/218/coviran-granada,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,86,59,1.0,36.0,16.0,3.0,4.0,105.0,40.0,1.0,26.0,6.0,4.0,6.0,48.0,22.73
20190202_araberri-basket-club_real-betis,2019-02-02,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/158/real-betis,55,81,1.0,32.0,9.0,8.0,13.0,41.0,16.67,1.0,34.0,19.0,7.0,17.0,102.0,50.0
20190215_araberri-basket-club_real-canoe-n-c,2019-02-15,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/13206/real-canoe-n-c,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,64,75,1.0,31.0,17.0,4.0,10.0,58.0,27.27,1.0,44.0,17.0,7.0,14.0,85.0,35.29
20190223_araberri-basket-club_fibwi-palma,2019-02-23,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,76,79,1.0,34.0,12.0,6.0,11.0,80.0,31.58,1.0,34.0,17.0,5.0,9.0,87.0,31.03
20190302_araberri-basket-club_fc-barcelona-ii,2019-03-02,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,72,71,1.0,18.0,13.0,3.0,16.0,61.0,38.09,1.0,32.0,6.0,7.0,11.0,73.0,31.58
20190309_araberri-basket-club_c-b-prat,2019-03-09,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat,62,71,1.0,39.0,8.0,4.0,9.0,56.0,26.31,1.0,32.0,12.0,5.0,8.0,74.0,31.03
20190316_alimerka-oviedo_araberri-basket-club,2019-03-16,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,71,63,1.0,33.0,18.0,7.0,14.0,82.0,40.74,1.0,28.0,6.0,11.0,13.0,59.0,31.25
20190319_araberri-basket-club_surne-bilbao,2019-03-19,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/844/surne-bilbao,52,76,1.0,31.0,11.0,4.0,10.0,43.0,20.83,1.0,36.0,21.0,7.0,7.0,93.0,30.0
20190331_araberri-basket-club_caceres,2019-03-31,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/152/caceres,67,68,1.0,39.0,7.0,7.0,16.0,63.0,18.52,1.0,25.0,12.0,7.0,10.0,70.0,25.0
20190405_araberri-basket-club_hiopos-lleida,2019-04-05,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,68,52,1.0,42.0,18.0,8.0,10.0,91.0,36.0,1.0,38.0,12.0,4.0,12.0,42.0,25.92
20181006_araberri-basket-club_melilla-ciudad-del-deporte-1,2018-10-06,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,109,111,1.0,38.0,14.0,12.0,12.0,103.0,36.36,1.0,43.0,19.0,4.0,15.0,116.0,16.67
20181009_araberri-basket-club_real-valladolid,2018-10-09,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/146/real-valladolid,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,91,79,1.0,38.0,23.0,9.0,21.0,106.0,47.62,1.0,24.0,8.0,11.0,15.0,60.0,31.25
20181013_araberri-basket-club_coviran-granada,2018-10-13,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/218/coviran-granada,84,90,1.0,22.0,14.0,7.0,13.0,79.0,44.0,1.0,28.0,14.0,9.0,16.0,97.0,41.66
20181019_araberri-basket-club_real-betis,2018-10-19,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/158/real-betis,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,94,82,1.0,36.0,15.0,13.0,19.0,109.0,41.38,1.0,39.0,9.0,11.0,22.0,72.0,25.81
20181027_araberri-basket-club_real-canoe-n-c,2018-10-27,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/13206/real-canoe-n-c,69,92,1.0,36.0,7.0,8.0,20.0,53.0,20.0,1.0,37.0,13.0,8.0,11.0,106.0,40.91
20181104_araberri-basket-club_fibwi-palma,2018-11-04,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,71,79,1.0,32.0,18.0,8.0,18.0,73.0,30.77,1.0,35.0,7.0,7.0,12.0,76.0,45.0
20181110_araberri-basket-club_fc-barcelona-ii,2018-11-10,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,81,96,1.0,36.0,9.0,6.0,13.0,73.0,26.09,1.0,34.0,23.0,6.0,14.0,105.0,39.39
20181117_araberri-basket-club_c-b-prat,2018-11-17,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,75,88,1.0,32.0,13.0,6.0,13.0,66.0,27.5,1.0,39.0,18.0,7.0,17.0,97.0,37.5
20181124_alimerka-oviedo_araberri-basket-club,2018-11-24,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,74,72,1.0,43.0,8.0,8.0,7.0,85.0,28.57,1.0,34.0,11.0,5.0,11.0,67.0,35.48
20181127_araberri-basket-club_surne-bilbao,2018-11-27,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/844/surne-bilbao,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,76,77,1.0,43.0,17.0,5.0,10.0,87.0,22.22,1.0,34.0,13.0,7.0,10.0,82.0,28.0
20181207_araberri-basket-club_caceres,2018-12-07,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,77,64,1.0,30.0,14.0,11.0,10.0,78.0,28.12,1.0,35.0,6.0,7.0,16.0,65.0,21.05
20181214_araberri-basket-club_hiopos-lleida,2018-12-14,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,73,89,1.0,28.0,16.0,6.0,15.0,67.0,33.33,1.0,31.0,24.0,6.0,15.0,100.0,36.0
20181221_araberri-basket-club_super-agropal-palencia,2018-12-21,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,92,87,1.0,34.0,21.0,8.0,13.0,111.0,36.36,1.0,28.0,16.0,9.0,10.0,90.0,28.57
20181229_araberri-basket-club_levitec-huesca,2018-12-29,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca,81,87,1.0,38.0,11.0,9.0,13.0,82.0,29.63,1.0,35.0,24.0,5.0,12.0,103.0,38.23
20190413_araberri-basket-club_super-agropal-palencia,2019-04-13,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia,82,94,1.0,34.0,17.0,5.0,14.0,88.0,36.0,1.0,36.0,29.0,7.0,8.0,113.0,50.0
20190421_araberri-basket-club_levitec-huesca,2019-04-21,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,105,68,1.0,41.0,29.0,6.0,8.0,141.0,56.66,1.0,28.0,12.0,7.0,9.0,58.0,21.74
20190426_araberri-basket-club_ourense,2019-04-26,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/670/ourense,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,65,58,1.0,40.0,16.0,9.0,9.0,78.0,34.61,1.0,32.0,5.0,5.0,16.0,54.0,41.66
20190503_araberri-basket-club_leyma-coruna,2019-05-03,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,76,82,1.0,33.0,9.0,6.0,7.0,80.0,30.77,1.0,33.0,6.0,3.0,12.0,73.0,34.61
20190215_caceres_levitec-huesca,2019-02-15,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca,68,75,1.0,33.0,9.0,6.0,12.0,68.0,33.33,1.0,30.0,16.0,8.0,11.0,82.0,35.0
20190222_caceres_leyma-coruna,2019-02-22,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,https://www.proballers.com/es/baloncesto/equipo/152/caceres,68,55,1.0,34.0,22.0,6.0,8.0,84.0,33.33,1.0,30.0,10.0,7.0,11.0,61.0,20.0
20190301_caceres_real-valladolid,2019-03-01,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/146/real-valladolid,66,74,1.0,31.0,16.0,5.0,10.0,68.0,30.43,1.0,36.0,7.0,5.0,9.0,73.0,17.65
20190309_caceres_real-betis,2019-03-09,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/158/real-betis,https://www.proballers.com/es/baloncesto/equipo/152/caceres,80,71,1.0,30.0,15.0,12.0,9.0,90.0,30.43,1.0,34.0,18.0,5.0,16.0,79.0,43.75
20190315_caceres_fibwi-palma,2019-03-15,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,80,75,1.0,27.0,15.0,6.0,8.0,88.0,40.74,1.0,29.0,13.0,3.0,12.0,77.0,21.05
20190320_c-b-prat_caceres,2019-03-20,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat,https://www.proballers.com/es/baloncesto/equipo/152/caceres,95,66,1.0,34.0,22.0,8.0,7.0,120.0,57.69,1.0,29.0,12.0,5.0,14.0,59.0,34.61
20190324_caceres_surne-bilbao,2019-03-24,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/844/surne-bilbao,74,76,1.0,31.0,10.0,6.0,16.0,64.0,41.38,1.0,47.0,12.0,12.0,9.0,83.0,19.05
20190405_caceres_super-agropal-palencia,2019-04-05,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia,https://www.proballers.com/es/baloncesto/equipo/152/caceres,70,76,1.0,36.0,15.0,6.0,14.0,75.0,25.0,1.0,29.0,15.0,6.0,13.0,81.0,37.93
20190412_caceres_ourense,2019-04-12,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/670/ourense,80,83,1.0,33.0,19.0,8.0,13.0,90.0,39.28,1.0,31.0,14.0,10.0,9.0,87.0,41.38
20190420_caceres_melilla-ciudad-del-deporte-1,2019-04-20,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,https://www.proballers.com/es/baloncesto/equipo/152/caceres,78,76,1.0,31.0,15.0,5.0,14.0,86.0,40.0,1.0,28.0,12.0,7.0,11.0,71.0,18.52
20190426_caceres_coviran-granada,2019-04-26,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/218/coviran-granada,85,79,1.0,17.0,14.0,6.0,8.0,89.0,65.0,1.0,24.0,9.0,7.0,9.0,87.0,45.45
20190503_caceres_real-canoe-n-c,2019-05-03,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/13206/real-canoe-n-c,https://www.proballers.com/es/baloncesto/equipo/152/caceres,57,73,1.0,30.0,12.0,7.0,13.0,46.0,21.05,1.0,34.0,10.0,7.0,18.0,74.0,40.0
20181006_caceres_fc-barcelona-ii,2018-10-06,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,https://www.proballers.com/es/baloncesto/equipo/152/caceres,64,68,1.0,27.0,16.0,7.0,15.0,61.0,26.92,1.0,30.0,9.0,9.0,19.0,65.0,41.17
20181019_caceres_hiopos-lleida,2018-10-19,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,58,69,1.0,29.0,10.0,9.0,12.0,57.0,22.22,1.0,38.0,8.0,8.0,13.0,73.0,29.63
20181026_caceres_levitec-huesca,2018-10-26,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca,https://www.proballers.com/es/baloncesto/equipo/152/caceres,86,59,1.0,36.0,20.0,11.0,16.0,108.0,47.82,1.0,35.0,10.0,10.0,15.0,52.0,28.0
20181102_caceres_leyma-coruna,2018-11-02,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,84,80,1.0,37.0,14.0,6.0,12.0,91.0,40.0,1.0,30.0,18.0,9.0,9.0,88.0,37.14
20181109_caceres_real-valladolid,2018-11-09,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/146/real-valladolid,https://www.proballers.com/es/baloncesto/equipo/152/caceres,75,71,1.0,52.0,11.0,6.0,14.0,76.0,16.67,1.0,36.0,16.0,4.0,13.0,71.0,19.23
20181116_caceres_real-betis,2018-11-16,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/158/real-betis,72,77,1.0,25.0,15.0,4.0,14.0,76.0,34.61,1.0,29.0,13.0,6.0,12.0,75.0,38.46
20181125_caceres_fibwi-palma,2018-11-25,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,https://www.proballers.com/es/baloncesto/equipo/152/caceres,82,74,1.0,43.0,12.0,10.0,12.0,95.0,30.43,1.0,24.0,9.0,8.0,15.0,66.0,50.0
20181128_c-b-prat_caceres,2018-11-28,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat,87,74,1.0,31.0,21.0,9.0,11.0,105.0,33.33,1.0,20.0,17.0,4.0,14.0,79.0,43.75
20181202_caceres_surne-bilbao,2018-12-02,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/844/surne-bilbao,https://www.proballers.com/es/baloncesto/equipo/152/caceres,82,53,1.0,39.0,23.0,12.0,15.0,103.0,40.0,1.0,28.0,10.0,10.0,17.0,42.0,17.65
20181214_caceres_super-agropal-palencia,2018-12-14,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia,85,87,1.0,24.0,13.0,6.0,13.0,91.0,42.86,1.0,28.0,16.0,12.0,10.0,97.0,35.0
20181219_caceres_ourense,2018-12-19,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/670/ourense,https://www.proballers.com/es/baloncesto/equipo/152/caceres,85,73,1.0,40.0,23.0,9.0,17.0,104.0,44.0,1.0,24.0,9.0,12.0,15.0,71.0,58.33
20181228_caceres_melilla-ciudad-del-deporte-1,2018-12-28,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,60,71,1.0,27.0,10.0,5.0,14.0,45.0,27.59,1.0,38.0,7.0,9.0,9.0,82.0,23.08
20190106_caceres_coviran-granada,2019-01-06,2018-2019,2018,https://www.proballers.com/es/baloncesto/equipo/218/coviran-granada,https://www.proballers.com/es/baloncesto/equipo/152/caceres,67,64,1.0,45.0,11.0,7.0,12.0,72.0,32.26,1.0,24.0,7.0,7.0,14.0,52.0,30.43
